,County,Population,State,mergedkeycol,Housing Data.Residing in Group Quarters,Housing Data.Total Housing Units,Vehicle Access.1 Mile,Vehicle Access.1/2 Mile,Vehicle Access.10 Miles,Vehicle Access.20 Miles,Low Access Numbers.Children.1 Mile,Low Access Numbers.Children.1/2 Mile,Low Access Numbers.Children.10 Miles,Low Access Numbers.Children.20 Miles,Low Access Numbers.Low Income People.1 Mile,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.Low Income People.10 Miles,Low Access Numbers.Low Income People.20 Miles,Low Access Numbers.People.1 Mile,Low Access Numbers.People.1/2 Mile,Low Access Numbers.People.10 Miles,Low Access Numbers.People.20 Miles,Low Access Numbers.Seniors.1 Mile,Low Access Numbers.Seniors.1/2 Mile,Low Access Numbers.Seniors.10 Miles,Low Access Numbers.Seniors.20 Miles,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino,Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
1391,wadenacounty,13843,mn,wadenacountymn,482,5705,120,194,7.0,0,1993,2585,240,0,2885,3892,312,0,8023.0,10682,1018,0,1425,2220.0,191,0,21.3,25.9,6.8,13.8,90.6,1014.0,0.8,0.5,1.1,2.1,0.0,2.1,95.5,93.7,76.5,5666.0,7199.0,132000.0,2.33,46605,24214,1.5,536.27,3.3,89.0,43121.0,21.8,50.4,891.0,14065,13843,25.8,11212.0,164261.0,1152,382,598,0.0,1097,162,906
1392,wasecacounty,19136,mn,wasecacountymn,1344,7281,169,233,65.0,0,3143,3901,826,0,3420,4710,992,0,13510.0,16521,3375,0,1943,2358.0,612,0,18.6,23.2,5.7,21.4,93.0,1149.0,0.8,0.9,2.3,6.4,0.0,1.6,94.5,88.7,77.5,7425.0,7959.0,158900.0,2.38,56762,29929,3.6,423.36,5.1,88.1,1061479.0,21.2,51.6,1112.0,18968,19136,45.2,12481.0,180647.0,1442,467,786,50.0,1298,51,1312
1393,washingtoncounty,238136,mn,washingtoncountymn,3570,87859,1224,2273,0.0,0,37698,55392,0,0,17263,27627,0,0,140574.0,205525,0,0,14006,20652.0,0,0,15.6,24.3,5.8,44.3,96.1,19068.0,0.6,6.4,5.0,4.5,0.1,2.5,85.4,81.6,81.1,94431.0,100996.0,289400.0,2.67,96671,45822,6.9,384.28,9.8,88.7,5767053.0,25.9,50.6,13322.0,267568,238136,619.7,399030.0,2976360.0,21302,7729,11035,2089.0,18613,1932,18414
1394,watonwancounty,11211,mn,watonwancountymn,150,4520,23,81,1.0,0,941,1637,48,0,1032,1983,73,0,16444.5,6897,243,0,890,2416.0,61,0,20.5,24.3,7.3,15.5,84.5,648.0,1.3,1.1,1.2,26.9,0.1,1.2,95.1,70.4,76.9,9917.5,5050.0,96900.0,2.51,54065,28341,12.2,434.95,21.2,93.1,343197.0,19.9,50.6,650.0,11253,11211,25.8,44746.0,64331.0,926,237,501,60.0,796,59,756
1395,wilkincounty,6576,mn,wilkincountymn,152,2690,29,102,13.0,0,797,1132,423,0,613,1124,319,0,3405.0,4739,1760,0,596,879.0,265,0,19.7,22.5,6.1,23.8,94.9,486.0,1.8,0.5,0.6,3.1,0.0,1.8,95.3,92.8,78.1,2818.0,3157.0,140000.0,2.18,60595,34543,0.5,750.96,1.4,94.5,740163.0,17.6,48.0,357.0,6506,6576,8.8,4250.0,68398.0,709,158,497,30.0,631,39,592
1396,winonacounty,51461,mn,winonacountymn,4499,19554,381,878,7.0,0,5916,8656,305,0,5566,11010,280,0,24588.0,39720,1325,0,3239,2416.0,205,0,17.6,17.8,4.7,30.1,93.5,2930.0,0.5,2.6,1.8,3.1,0.0,1.3,93.7,91.0,70.4,19442.0,21327.0,167300.0,2.41,59329,30013,3.3,626.21,6.2,81.9,1567927.0,18.2,50.5,3071.0,49671,51461,82.2,76409.0,681881.0,3637,1081,1898,79.0,3370,372,3034
1397,wrightcounty,124700,mn,wrightcountymn,1104,44473,722,1274,0.0,0,23441,32789,0,0,10681,16006,0,0,78719.0,108912,0,0,7008,10004.0,0,0,13.0,27.7,6.8,29.6,94.9,9887.0,0.4,1.4,1.8,3.1,0.0,1.9,94.4,91.7,81.6,48242.0,53282.0,238500.0,2.76,84974,36260,2.8,661.46,4.1,90.3,1184940.0,30.5,49.4,6895.0,141337,124700,188.5,123821.0,1713538.0,11975,3471,6487,302.0,11318,900,10475
1398,yellowmedicinecounty,10438,mn,yellowmedicinecountymn,290,4292,76,124,50.0,0,1674,2001,849,0,1684,2327,986,0,6569.0,8259,3375,0,1109,1571.0,619,0,20.8,23.1,5.8,17.2,91.3,800.0,3.9,0.6,0.9,5.1,0.1,1.7,92.9,88.7,79.4,4087.0,4763.0,110000.0,2.33,59210,29908,2.1,759.1,4.0,90.8,177929.0,18.4,49.6,591.0,9528,10438,13.8,41546.0,99950.0,954,227,548,32.0,877,84,777
1399,adamscounty,32297,ms,adamscountyms,2320,12643,672,943,11.0,0,4541,6230,114,0,11395,15318,186,0,21509.0,28632,501,1,3115,2416.0,81,0,19.6,19.9,5.7,17.4,77.9,2404.0,0.5,0.6,53.4,10.1,0.0,1.0,44.4,35.5,62.4,11237.0,14732.0,92100.0,2.56,29936,18386,8.0,462.41,9.1,92.3,155037.0,22.3,48.0,1486.0,29538,32297,69.8,89285.0,488747.0,3323,1127,1793,1097.0,2111,417,2724
1400,alcorncounty,37057,ms,alcorncountyms,435,15039,487,584,7.0,0,6927,8139,275,0,11915,14505,470,0,28339.0,33493,1136,0,4332,5262.0,147,0,18.8,22.5,5.8,17.1,81.3,2466.0,0.4,0.4,12.4,3.2,0.0,1.3,85.5,82.7,68.7,14649.0,17330.0,102700.0,2.49,42086,23909,1.4,400.04,2.7,87.3,1092673.0,22.4,51.3,1759.0,34740,37057,92.6,55345.0,537985.0,3200,1051,1556,265.0,2726,286,2538
1401,amitecounty,13131,ms,amitecountyms,116,5351,257,308,46.0,0,2513,2716,384,0,5404,5949,895,0,11162.0,12141,1831,0,1966,2416.0,332,0,24.1,20.3,5.3,12.6,81.9,815.0,0.4,0.2,40.0,1.3,0.0,0.9,58.6,57.9,84.9,9917.5,6864.0,83600.0,2.36,33981,21568,0.4,730.1,1.0,95.9,48296.0,39.9,51.7,698.0,12720,13131,18.0,1429.0,39229.0,823,301,432,314.0,491,107,691
1402,attalacounty,19564,ms,attalacountyms,343,7619,428,663,36.0,0,3751,4626,613,0,7502,9672,1309,0,14644.0,17845,2621,0,2451,3056.0,515,0,19.5,24.9,6.4,13.9,77.6,1302.0,0.4,0.4,43.6,2.0,0.0,0.9,54.6,53.0,72.5,6941.0,9299.0,80700.0,2.6,33767,21276,0.9,734.98,2.3,84.5,175648.0,32.6,52.7,940.0,17889,19564,26.6,44746.0,192464.0,1213,419,646,430.0,681,137,952
1403,bentoncounty,8729,ms,bentoncountyms,78,3404,96,103,38.0,0,2037,2129,883,0,3437,3603,1481,0,8110.0,8483,3120,0,1191,1255.0,402,0,19.0,21.3,5.7,11.5,72.6,588.0,0.4,0.1,35.8,2.6,0.0,1.5,62.2,60.1,80.6,3149.0,4290.0,78000.0,2.59,36258,20643,1.5,406.62,2.6,93.1,740163.0,32.4,50.6,487.0,7646,8729,21.5,44746.0,24395.0,530,218,301,226.0,296,63,459
1404,bolivarcounty,34145,ms,bolivarcountyms,1564,12727,1139,1460,7.0,0,6456,7981,1898,0,14889,18581,4474,0,25486.0,31719,6670,0,2972,3824.0,812,0,16.3,24.4,6.7,23.6,77.8,2084.0,0.2,1.1,63.7,2.2,0.0,0.7,34.2,32.7,53.6,12111.0,14399.0,96100.0,2.51,29854,18843,2.0,876.57,3.3,89.2,405835.0,18.7,53.4,1076.0,30985,34145,39.0,39441.0,371156.0,2671,1070,1280,1406.0,1145,170,2377
1405,calhouncounty,14962,ms,calhouncountyms,215,5988,268,428,1.0,0,2441,3378,91,0,4607,6205,172,0,10338.0,13555,468,0,1706,2237.0,86,0,19.5,23.2,5.6,11.8,77.5,947.0,0.4,0.2,28.5,6.3,0.0,1.2,69.7,64.3,74.5,5846.0,7030.0,70500.0,2.44,37263,19229,3.2,586.57,5.3,93.4,271109.0,25.9,51.9,435.0,13266,14962,25.5,44746.0,95228.0,1385,445,790,149.0,1204,139,1189
1406,carrollcounty,10597,ms,carrollcountyms,334,4188,215,215,150.0,0,2283,2283,1340,0,3866,3866,2164,0,16444.5,10597,5949,0,1817,2416.0,1063,0,24.2,18.7,4.2,12.2,80.2,711.0,0.3,0.3,33.0,1.6,0.0,1.1,65.4,64.2,81.2,3827.0,5228.0,99000.0,2.57,46052,22385,0.0,628.24,0.0,92.0,740163.0,28.5,49.7,496.0,9998,10597,16.9,290.0,22111.0,747,278,437,171.0,562,82,622
1407,chickasawcounty,17392,ms,chickasawcountyms,206,6639,291,460,13.0,0,2954,3850,84,0,5741,7518,195,0,11433.0,14508,316,0,1536,1962.0,39,0,17.5,24.9,6.9,12.4,75.4,1127.0,0.4,0.5,44.6,5.4,0.0,1.7,52.7,48.7,69.7,6476.0,7637.0,66500.0,2.58,36548,19926,2.0,501.78,3.5,91.1,483799.0,24.5,50.6,361.0,17106,17392,34.7,44746.0,153356.0,1352,417,759,324.0,976,165,1096
1408,choctawcounty,8547,ms,choctawcountyms,121,3446,164,213,31.0,0,1726,1930,293,0,2935,3408,543,0,7026.0,7829,1104,0,1181,1326.0,207,0,22.3,21.4,5.2,19.1,80.5,678.0,0.4,0.4,29.7,1.6,0.0,1.4,68.1,67.1,78.6,3228.0,4230.0,81400.0,2.51,36777,22257,0.1,418.18,0.4,91.2,56825.0,32.5,51.2,398.0,8246,8547,20.4,44746.0,25113.0,802,303,366,184.0,575,101,612
1409,claibornecounty,9604,ms,claibornecountyms,899,3440,258,299,62.0,0,1656,1978,301,0,4621,5456,878,0,7340.0,8495,1237,0,858,2416.0,178,0,16.7,20.9,6.1,24.0,80.3,395.0,0.2,0.8,86.6,1.4,0.0,1.0,11.4,10.7,69.5,9917.5,4381.0,67500.0,2.86,29338,14320,0.9,487.41,2.4,95.0,740163.0,26.3,52.7,339.0,9135,9604,19.7,7677.0,35327.0,414,162,195,261.0,111,74,298
1410,clarkecounty,16732,ms,clarkecountyms,52,6733,267,336,49.0,0,3487,3819,523,0,5758,6468,1069,0,13953.0,15518,2267,0,2177,2416.0,381,0,20.8,21.9,6.0,12.5,82.9,1055.0,0.5,0.2,34.7,1.1,0.0,0.7,63.8,62.9,83.3,6237.0,8057.0,84900.0,2.52,43207,23988,0.4,691.55,0.5,93.2,740163.0,29.9,53.0,1017.0,15615,16732,24.2,44746.0,63556.0,1080,335,683,296.0,755,78,956
1411,claycounty,20634,ms,claycountyms,303,8029,296,495,7.0,0,3158,4535,819,0,6094,8570,1842,0,12892.0,17662,3173,0,1868,2477.0,419,0,18.9,22.4,5.7,20.4,81.7,1280.0,0.2,0.4,59.3,1.6,0.0,0.8,39.3,38.4,71.4,7618.0,9342.0,89900.0,2.54,31833,20599,0.5,410.08,0.9,91.2,656561.0,22.5,53.2,1004.0,18636,20634,50.3,22617.0,165403.0,1508,638,736,643.0,779,181,1237
1412,coahomacounty,26151,ms,coahomacountyms,667,9461,457,847,252.0,0,2975,5692,1284,0,6764,11838,3111,1,11149.0,19892,4460,2,1483,2544.0,520,0,16.0,27.0,7.9,16.5,79.5,1658.0,0.2,0.5,77.6,1.7,0.1,0.8,20.9,19.9,50.6,8782.0,10708.0,68300.0,2.56,29121,18985,0.5,552.44,1.4,85.5,288392.0,20.8,53.7,998.0,21390,26151,47.3,82277.0,295392.0,2075,965,907,1225.0,724,183,1752
1413,copiahcounty,29449,ms,copiahcountyms,1027,10708,462,631,74.0,0,5689,6850,903,0,10061,12519,1580,0,22651.0,27148,3948,0,2979,2416.0,611,0,18.3,22.7,5.9,14.5,80.2,2040.0,0.3,0.4,51.9,3.3,0.0,1.1,46.3,43.9,77.2,9414.0,12381.0,95200.0,2.93,42151,20093,1.6,777.24,2.9,93.4,626768.0,30.9,52.0,1091.0,28368,29449,37.9,16808.0,181455.0,2104,920,1000,922.0,1109,376,1613
1414,covingtoncounty,19568,ms,covingtoncountyms,240,7430,197,246,0.0,0,4276,4699,0,0,7368,8281,0,0,16319.0,18060,0,0,2353,2416.0,0,0,17.2,24.5,6.4,14.7,83.2,1511.0,0.2,0.4,36.1,2.4,0.0,1.2,62.0,60.3,78.2,6759.0,8761.0,77100.0,2.77,38178,19180,0.6,413.79,1.2,96.7,432024.0,28.8,51.2,1027.0,18340,19568,47.3,44746.0,188345.0,1778,770,757,741.0,991,153,1527
1415,desotocounty,161252,ms,desotocountyms,610,57748,971,1543,0.0,0,29404,41330,1,0,24148,37210,2,0,104682.0,145892,3,0,10653,14694.0,0,0,13.2,25.4,6.0,25.0,90.4,14396.0,0.7,1.6,30.1,5.1,0.1,1.5,66.4,61.9,74.0,9917.5,69657.0,168500.0,2.83,67038,30195,3.7,476.15,5.5,85.8,1269539.0,25.4,51.9,10564.0,185314,161252,338.7,311321.0,2320903.0,13157,4582,6746,3461.0,9195,1304,10992
1416,forrestcounty,74934,ms,forrestcountyms,3601,28746,849,1654,31.0,0,9856,14540,593,0,15261,27098,1097,0,37380.0,59557,2437,0,4228,6740.0,341,0,13.9,23.2,6.7,27.8,87.4,5472.0,0.3,1.1,37.8,3.0,0.1,1.4,59.2,56.9,54.5,28086.0,33179.0,122700.0,2.55,39840,22534,2.5,466.31,3.6,79.4,942371.0,21.0,52.8,4634.0,78158,74934,160.7,181019.0,3680206.0,6473,2443,3322,1773.0,4393,780,5173
1417,franklincounty,8118,ms,franklincountyms,67,3211,77,106,25.0,0,1723,1934,689,0,3171,3584,1220,0,6996.0,7756,2629,0,1162,1271.0,414,0,20.8,22.7,5.5,12.0,84.6,576.0,0.3,0.1,34.5,1.2,0.0,1.4,63.6,62.8,76.9,2928.0,4303.0,76600.0,2.61,40219,23067,0.4,563.78,0.4,96.0,740163.0,34.2,50.9,456.0,7675,8118,14.4,496.0,28978.0,497,120,300,117.0,344,0,439
1418,georgecounty,22578,ms,georgecountyms,564,7982,377,405,95.0,0,5345,5679,612,0,7800,8702,1144,0,19385.0,21131,2150,0,2342,2577.0,249,0,14.6,26.4,7.5,13.8,84.3,1467.0,0.7,0.8,7.7,3.0,0.0,1.2,89.7,87.0,81.8,7592.0,9590.0,110800.0,3.08,47292,22732,1.1,478.71,3.7,91.5,740163.0,33.1,49.5,1559.0,24350,22578,47.2,15413.0,229453.0,1565,668,704,158.0,1341,77,1393
1419,greenecounty,14400,ms,greenecountyms,3042,4306,121,132,9.0,0,2747,2958,209,0,4388,4742,243,0,12817.0,13656,782,0,1321,1494.0,102,0,15.3,19.3,5.1,9.7,76.2,690.0,0.4,0.2,25.4,1.2,0.0,0.8,73.2,72.2,82.8,3925.0,5192.0,77700.0,2.5,49677,16006,1.8,712.76,1.5,84.5,740163.0,31.1,42.2,790.0,13530,14400,20.2,44746.0,48337.0,679,241,374,162.0,502,53,594
1420,grenadacounty,21906,ms,grenadacountyms,256,8779,248,510,58.0,0,2985,4382,420,0,4931,7793,634,0,12339.0,17847,1964,0,1760,2668.0,341,0,18.1,23.7,6.2,21.3,80.8,1435.0,0.3,0.5,42.9,1.6,0.0,1.1,55.3,54.2,64.0,8391.0,10262.0,105000.0,2.47,40122,23135,0.3,422.11,0.8,88.9,717889.0,18.7,52.5,1052.0,21629,21906,51.9,41965.0,415123.0,1859,650,1002,353.0,1401,130,1605
1421,hancockcounty,43929,ms,hancockcountyms,547,17380,618,875,20.0,0,7835,9713,644,0,11485,14535,1066,0,32546.0,40423,2468,0,4627,5936.0,343,0,20.7,19.9,4.9,22.0,87.5,3603.0,0.7,0.9,8.4,3.9,0.1,2.2,87.7,84.5,75.5,9917.5,26385.0,147500.0,2.33,48119,27462,2.0,473.75,3.6,87.9,740163.0,30.1,51.2,4152.0,46053,43929,92.7,44746.0,346183.0,3586,1345,1865,405.0,3075,362,3025
1422,harrisoncounty,187105,ms,harrisoncountyms,5452,71476,2113,3527,55.0,0,27809,39121,692,0,44277,64381,809,0,109999.0,157516,2674,0,12474,18447.0,297,0,15.4,23.8,6.5,23.1,88.3,15364.0,0.5,2.9,25.9,5.6,0.1,2.8,67.8,63.2,56.6,78104.0,94603.0,150500.0,2.56,47894,25415,4.5,573.99,6.8,78.9,1989834.0,23.6,51.1,21641.0,208621,187105,326.0,1537711.0,2859097.0,16566,6296,8573,5041.0,10849,1962,13505
1423,hindscounty,245285,ms,hindscountyms,7843,91351,2517,5138,7.0,0,29338,51729,1815,0,44447,85314,3546,0,113986.0,195231,7373,0,13512,21738.0,1031,0,14.8,23.9,6.3,29.0,87.5,20626.0,0.1,0.7,73.1,1.6,0.0,0.9,25.1,23.9,58.0,88611.0,104284.0,118600.0,2.59,44625,23734,1.7,869.74,2.8,83.6,1374377.0,23.3,53.3,11010.0,227742,245285,282.0,475608.0,3072334.0,24277,9790,12575,13396.0,9920,3128,19895
1424,holmescounty,19198,ms,holmescountyms,591,6926,641,764,289.0,0,4104,5175,1488,0,10426,12902,3546,0,14553.0,17873,4858,0,1837,2252.0,570,0,15.7,25.0,6.5,10.2,76.8,1225.0,0.2,0.3,83.1,1.2,0.0,0.8,15.7,15.2,61.3,6188.0,8643.0,60400.0,2.76,21504,15291,0.1,756.7,0.9,94.3,740163.0,28.2,52.4,433.0,17000,19198,25.4,5511.0,98105.0,1306,575,636,917.0,318,150,1082
1425,humphreyscounty,9375,ms,humphreyscountyms,83,3373,210,347,50.0,0,1439,2154,297,0,3472,4966,753,0,16444.5,7448,1247,0,770,975.0,198,0,17.7,26.0,5.6,12.8,69.9,618.0,0.2,0.4,75.8,3.8,0.1,1.2,22.3,20.0,61.9,3186.0,3810.0,69100.0,2.6,28962,18513,2.2,418.49,2.1,92.8,740163.0,23.8,52.8,238.0,7785,9375,22.4,4338.0,100431.0,742,282,405,441.0,265,156,548
1426,issaquenacounty,1406,ms,issaquenacountyms,251,472,60,60,17.0,0,281,281,89,0,857,857,217,0,1406.0,1406,363,0,203,2416.0,61,0,16.7,10.7,2.7,3.2,60.5,66.0,0.4,0.5,63.8,1.7,0.2,0.4,34.9,33.8,43.7,483.0,573.0,79200.0,2.19,24208,16388,0.0,413.05,0.6,81.6,740163.0,21.5,40.2,39.0,1338,1406,3.4,44746.0,275248.0,64,0,33,48.0,0,25,27
1427,itawambacounty,23401,ms,itawambacountyms,934,8881,298,329,7.0,0,4811,5214,158,0,9174,9938,360,0,20455.0,22365,713,0,2951,3385.0,117,0,18.0,21.5,5.6,13.2,79.1,1299.0,0.3,0.5,7.0,1.7,0.0,1.2,91.0,89.6,76.3,8653.0,10370.0,87600.0,2.59,44567,22806,0.3,532.79,1.4,89.3,930592.0,25.6,50.5,1300.0,23863,23401,43.9,17158.0,157061.0,1634,499,945,131.0,1445,191,1294
1428,jacksoncounty,139668,ms,jacksoncountyms,1290,52205,1148,1793,0.0,0,23501,31424,260,0,30725,42691,327,0,89253.0,122167,952,0,10209,14998.0,95,0,16.3,23.1,5.7,21.1,88.7,9626.0,0.5,2.4,21.7,6.8,0.1,2.1,73.3,67.4,69.8,52423.0,62784.0,135900.0,2.69,51657,27141,3.8,722.75,6.7,87.5,740163.0,24.5,50.9,12384.0,143252,139668,193.2,44746.0,1220485.0,10223,4648,4796,2851.0,7085,1401,8433
1429,jaspercounty,17062,ms,jaspercountyms,87,6798,356,392,44.0,0,3804,4056,436,0,7161,7666,894,0,15790.0,16677,2100,0,2509,2638.0,398,0,20.7,22.3,5.9,15.1,84.2,1062.0,0.3,0.1,53.2,1.4,0.0,0.8,45.5,44.6,85.0,6629.0,8490.0,79000.0,2.48,35872,22523,0.3,676.24,0.4,93.7,327723.0,34.6,51.6,1077.0,16367,17062,25.2,44746.0,73006.0,1151,356,664,380.0,745,117,963
1430,jeffersoncounty,7726,ms,jeffersoncountyms,393,2929,311,358,18.0,0,1396,1651,162,0,3912,4714,349,0,5890.0,6988,770,0,784,904.0,133,0,17.4,22.2,6.2,15.9,78.0,514.0,0.3,0.2,85.4,0.9,0.0,0.8,13.3,12.9,67.4,2448.0,3811.0,63400.0,2.75,25019,14659,2.4,519.93,2.3,96.4,740163.0,25.3,50.8,250.0,7260,7726,14.9,942.0,21969.0,537,226,284,451.0,70,81,440
1431,jeffersondaviscounty,12487,ms,jeffersondaviscountyms,116,4977,399,436,56.0,0,2698,2863,523,0,6455,6846,1195,0,11261.0,11914,2067,0,1784,1908.0,310,0,23.1,19.9,5.6,14.1,82.4,867.0,0.3,0.3,59.6,1.9,0.0,0.9,38.8,37.5,75.6,4713.0,6011.0,94600.0,2.38,32116,20638,0.6,408.44,0.8,92.1,740163.0,36.6,52.7,723.0,11321,12487,30.6,4708.0,61565.0,1016,421,504,587.0,407,151,817
1432,jonescounty,67761,ms,jonescountyms,1810,25247,754,1173,47.0,0,12320,15655,576,0,20388,26360,894,0,48752.0,60996,2269,0,7061,8633.0,315,0,17.4,25.0,6.8,20.8,84.1,4783.0,0.7,0.5,29.7,4.7,0.0,1.0,68.1,64.2,72.6,24858.0,29286.0,98600.0,2.68,41775,23163,2.5,694.8,4.3,92.4,1656107.0,21.7,51.5,3466.0,67246,67761,97.5,44746.0,796350.0,4906,1735,2719,955.0,3781,522,4143
1433,kempercounty,10456,ms,kempercountyms,708,3920,411,411,93.0,1,2431,2439,899,55,6410,6430,2507,96,10407.0,10445,3870,163,1628,1634.0,570,10,20.9,18.1,4.6,14.7,82.1,615.0,3.5,0.2,61.4,0.9,0.1,0.8,34.1,33.7,73.6,3611.0,4795.0,73600.0,2.49,31103,16995,0.1,766.18,1.8,89.2,740163.0,30.5,49.8,325.0,8988,10456,13.6,44746.0,37819.0,402,162,189,226.0,154,74,304
1434,lafayettecounty,47351,ms,lafayettecountyms,5038,18356,610,731,37.0,0,7464,8453,816,0,16211,19033,1438,0,38843.0,45304,3671,0,4291,4814.0,615,0,13.3,18.5,5.1,45.6,90.4,4695.0,0.3,2.2,23.7,2.7,0.1,1.3,72.4,70.2,62.0,18721.0,26558.0,199700.0,2.61,50272,27765,3.7,631.71,5.2,74.8,167579.0,19.5,51.5,1949.0,55813,47351,75.0,135616.0,548785.0,4197,1333,2375,843.0,3085,488,3471
1435,lamarcounty,55658,ms,lamarcountyms,338,21542,564,1019,7.0,0,10850,13707,454,0,12879,17858,658,0,39816.0,51505,1630,0,4199,5581.0,173,0,14.4,24.7,6.5,34.1,89.4,4990.0,0.3,1.5,21.0,2.9,0.1,1.4,75.7,73.3,67.5,22116.0,24732.0,177700.0,2.79,60328,30062,2.8,497.06,4.5,80.2,740163.0,25.7,52.0,3782.0,64222,55658,112.0,118069.0,1041387.0,5185,1700,2884,707.0,4284,643,4152
1436,lauderdalecounty,80261,ms,lauderdalecountyms,3847,31090,1880,2373,146.0,0,14873,18277,1165,0,26408,34028,2480,0,61259.0,73481,5566,0,8780,10407.0,769,0,17.8,23.3,6.3,19.7,84.5,5084.0,0.3,0.8,44.2,2.3,0.0,1.1,53.6,52.0,64.5,29736.0,35399.0,96300.0,2.45,42534,24698,1.9,703.63,3.0,85.6,779403.0,20.3,51.6,4963.0,72984,80261,114.1,173951.0,1488172.0,6374,2352,3303,1945.0,4107,726,5174
1437,lawrencecounty,12929,ms,lawrencecountyms,0,5078,208,235,46.0,0,2778,3027,680,0,4376,4738,1062,0,11021.0,12051,2637,0,1619,1787.0,399,0,18.2,24.7,6.2,17.6,81.7,780.0,0.3,0.4,32.4,2.2,0.0,0.9,66.0,64.4,75.2,4849.0,6225.0,94800.0,2.61,41914,22980,0.7,430.67,1.5,92.5,740163.0,35.7,51.5,552.0,12016,12929,30.0,4010.0,62461.0,828,341,391,224.0,563,179,608
1438,leakecounty,23805,ms,leakecountyms,1845,8272,657,687,128.0,0,6072,6598,787,0,10243,11218,1802,0,19599.0,21460,3022,0,2580,2416.0,442,0,16.7,25.5,6.4,14.3,78.6,1299.0,6.8,0.5,42.1,4.8,0.0,1.1,49.4,46.6,70.8,8105.0,9622.0,83300.0,2.74,37096,19893,2.1,583.0,7.2,90.7,740163.0,29.4,48.4,955.0,21275,23805,40.8,44746.0,173043.0,1466,638,719,490.0,937,139,1226
1439,leecounty,82910,ms,leecountyms,1065,32086,1106,1627,0.0,0,14544,19062,0,0,19379,26527,0,0,55109.0,71949,0,0,6952,9587.0,0,0,15.2,24.9,6.7,24.4,83.6,6530.0,0.3,1.0,30.6,2.7,0.0,1.3,66.8,64.6,67.9,32099.0,37123.0,133700.0,2.62,50559,26369,2.1,449.95,3.3,87.4,3413976.0,20.5,52.3,4111.0,83343,82910,184.3,199255.0,1628067.0,7338,2189,4294,1269.0,5687,718,6133
1440,leflorecounty,32317,ms,leflorecountyms,2279,11577,929,1344,36.0,0,5336,7655,416,0,12969,17989,913,0,19326.0,27549,1677,0,1901,3039.0,216,0,14.7,27.7,7.8,18.5,81.6,1622.0,0.5,0.6,75.0,2.8,0.0,0.8,23.1,21.6,50.6,9962.0,13086.0,81200.0,2.79,26735,18419,2.0,592.54,3.1,92.5,740163.0,15.5,53.5,580.0,28339,32317,54.5,63379.0,465597.0,2158,699,1148,759.0,1247,263,1627
1441,lincolncounty,34869,ms,lincolncountyms,714,13296,533,705,56.0,0,6599,7868,1184,0,10363,13034,1651,0,25526.0,30208,4322,0,3424,4158.0,550,0,17.5,23.3,6.0,16.2,86.3,2718.0,0.2,0.4,30.3,1.3,0.0,1.1,67.9,66.9,75.3,12699.0,15706.0,99500.0,2.65,42606,23541,0.5,586.12,1.1,91.8,740163.0,27.2,52.2,1202.0,34907,34869,59.5,43588.0,540559.0,2307,851,1131,659.0,1550,172,1999
1442,lowndescounty,59779,ms,lowndescountyms,1318,23487,1006,1373,8.0,0,10903,13572,151,0,17252,22719,211,0,42276.0,53197,589,0,4958,2416.0,68,0,16.3,23.7,6.6,23.4,86.0,4042.0,0.3,1.0,44.8,2.1,0.1,1.1,52.8,51.2,63.5,22436.0,27515.0,134200.0,2.56,50441,26438,2.3,505.51,3.1,86.7,3543897.0,20.0,52.4,4323.0,58879,59779,118.3,98523.0,736479.0,4847,1726,2594,1439.0,3149,579,3956
1443,madisoncounty,95203,ms,madisoncountyms,1765,35829,391,1035,17.0,0,15103,22861,573,0,10368,20864,932,0,54236.0,83197,2094,0,5616,8651.0,284,0,13.9,24.7,6.2,48.4,91.7,11866.0,0.3,2.8,38.3,3.1,0.1,1.1,57.5,55.1,71.7,39635.0,44469.0,219700.0,2.59,71824,38901,4.5,714.51,6.4,88.3,4567972.0,22.4,52.2,4389.0,109145,95203,133.2,230133.0,1616887.0,11227,3592,6225,2650.0,8046,1234,9158
