State,Low Access Numbers.People.10 Miles,Vehicle Access.10 Miles,Sales.Retail Sales,Income.Median Houseold Income,Region
ga,1863,48.0,196658.0,44151,South
ga,2,0.0,333815.0,43471,South
ga,921,43.0,19587.0,34167,South
ga,3318,78.0,600072.0,56951,South
ga,71,5.0,120044.0,33736,South
ga,0,0.0,1310431.0,53737,South
ga,0,0.0,687430.0,56235,South
ga,885,13.0,58806.0,41961,South
ga,1,0.0,4256416.0,56842,South
ga,2925,124.0,22726.0,47096,South
ga,84,1.0,157984.0,36807,South
ga,0,0.0,2271598.0,82740,South
ga,0,7.0,1684161.0,38623,South
ga,59,3.0,12495.0,22325,South
ga,0,0.0,3229643.0,47864,South
ga,527,9.0,44688.0,27658,South
ga,0,7.0,10368694.0,77932,South
ga,3064,65.0,487511.0,40859,South
ga,2597,13.0,460046.0,36435,South
ga,1262,1.0,1580571.0,82339,South
ga,282,7.0,136640.0,41854,South
ga,34,0.0,1479459.0,75913,South
ga,5120,156.0,23119.0,46283,South
ga,83,0.0,303544.0,36042,South
ga,0,0.0,184585.0,42581,South
ga,192,3.0,523908.0,66281,South
ga,0,0.0,7956518.0,62399,South
ga,1863,39.0,324740.0,41481,South
ga,74,2.0,152277.0,39302,South
ga,86,7.0,147059.0,37340,South
ga,32,1.0,1529899.0,39584,South
ga,6,0.0,1955842.0,63835,South
ga,633,21.0,86082.0,30640,South
ga,1926,17.0,275248.0,39494,South
ga,1507,0.0,358549.0,66822,South
ga,806,31.0,142017.0,38678,South
ga,2874,102.0,203297.0,37453,South
ga,0,0.0,178820.0,42607,South
ga,527,3.0,256578.0,47997,South
ga,0,0.0,1453694.0,90145,South
ga,61,0.0,1022355.0,48336,South
ga,0,0.0,2366845.0,107218,South
ga,0,7.0,270735.0,42488,South
ga,0,0.0,13382679.0,69673,South
ga,884,10.0,291776.0,52625,South
ga,2147,7.0,5662.0,45000,South
ga,226,0.0,1407070.0,52977,South
ga,394,0.0,627527.0,45865,South
ga,1031,13.0,184655.0,43531,South
ga,845,50.0,205956.0,52129,South
ga,0,0.0,12673392.0,71026,South
ga,149,4.0,462142.0,50563,South
ga,0,0.0,2231905.0,62984,South
ga,615,11.0,24753.0,31860,South
ga,9,0.0,321245.0,48550,South
ga,411,7.0,70154.0,76319,South
ga,0,7.0,173627.0,43204,South
ga,433,7.0,22774.0,51358,South
ga,0,0.0,2402457.0,71288,South
ga,0,0.0,1762808.0,61723,South
ga,584,7.0,32344.0,37736,South
ga,0,0.0,1482538.0,65385,South
ga,393,4.0,47648.0,51250,South
ga,1208,13.0,251915.0,36669,South
ga,126,2.0,142768.0,33944,South
ga,79,2.0,40505.0,27375,South
ga,2226,56.0,37055.0,42446,South
ga,271,4.0,96950.0,56020,South
ga,0,0.0,107195.0,44846,South
ga,69,1.0,275248.0,40986,South
ga,1522,19.0,700527.0,39120,South
ga,16,0.0,154999.0,69280,South
ga,385,12.0,564050.0,48007,South
ga,448,6.0,38815.0,39742,South
ga,108,2.0,16175.0,54605,South
ga,83,1.0,1748485.0,42441,South
ga,224,2.0,192262.0,51790,South
ga,63,3.0,43548.0,32161,South
ga,656,19.0,135690.0,52500,South
ga,0,7.0,35332.0,44643,South
ga,173,4.0,294954.0,43468,South
ga,413,8.0,98130.0,49504,South
ga,721,29.0,116084.0,37121,South
ga,25,1.0,77427.0,44542,South
ga,350,31.0,156778.0,38116,South
ga,908,14.0,186875.0,54754,South
ga,1109,9.0,46666.0,41996,South
ga,542,1.0,309238.0,66178,South
ga,651,12.0,198051.0,48033,South
ga,41,7.0,2847837.0,46408,South
ga,1097,11.0,747320.0,56316,South
ga,505,1.0,397167.0,90751,South
ga,777,10.0,40608.0,47120,South
ga,0,0.0,1174446.0,68370,South
ga,0,0.0,296125.0,46636,South
ga,0,0.0,327444.0,67631,South
ga,1667,7.0,114357.0,42804,South
ga,4,0.0,36183.0,64878,South
ga,13,7.0,326505.0,44891,South
ga,441,11.0,87635.0,45148,South
ga,257,5.0,157411.0,51606,South
ga,77,4.0,12118.0,26667,South
ga,96,0.0,247664.0,42500,South
ga,321,31.0,47645.0,31699,South
ga,0,7.0,2627283.0,42728,South
ga,0,0.0,1239582.0,60189,South
ga,25,1.0,19345.0,44448,South
ga,3062,7.0,74492.0,39842,South
ga,605,15.0,73036.0,33357,South
ga,0,0.0,638821.0,47111,South
ga,0,0.0,262500.0,47164,South
ga,1125,23.0,17101.0,29732,South
ga,154,7.0,310986.0,36681,South
ga,1960,122.0,11696.0,38549,South
ga,1569,84.0,2329.0,37446,South
ga,599,11.0,103023.0,40730,South
ga,374,1.0,36939.0,33832,South
ga,1215,6.0,59835.0,32405,South
ga,103,7.0,68043.0,34768,South
ga,702,7.0,564630.0,43740,South
ga,0,7.0,805567.0,45639,South
ga,2072,5.0,406390.0,40175,South
ga,1,0.0,87113.0,48219,South
ga,149,3.0,29934.0,32241,South
ga,1,0.0,911111.0,45649,South
ga,172,1.0,66689.0,37039,South
ga,5,0.0,27933.0,34879,South
ga,789,24.0,242915.0,50021,South
ga,514,27.0,207861.0,37640,South
ga,186,4.0,355081.0,46157,South
ga,0,0.0,744471.0,61599,South
ga,2605,55.0,627405.0,36869,South
ga,122,4.0,14481.0,37203,South
ga,3934,40.0,186951.0,38068,South
ga,4135,86.0,293052.0,45483,South
ga,57,7.0,8978.0,37297,South
ga,345,17.0,21249.0,30192,South
ga,0,0.0,279668.0,52493,South
ga,0,0.0,1302376.0,48623,South
ga,918,13.0,23371.0,36964,South
ga,1510,73.0,70376.0,37838,South
ga,2089,61.0,32512.0,38996,South
ga,698,0.0,117096.0,45398,South
hi,9291,189.0,2390830.0,62409,West
hi,0,0.0,13036448.0,85857,West
hi,0,0.0,275248.0,69375,West
hi,183,1.0,1013489.0,83554,West
hi,1904,36.0,275248.0,80948,West
id,210,1.0,5766679.0,66293,West
id,1014,11.0,275248.0,48856,West
id,3965,50.0,1155265.0,51734,West
id,1549,15.0,58828.0,54167,West
id,2165,46.0,76486.0,47556,West
id,1909,3.0,256182.0,55472,West
id,1693,18.0,298595.0,56694,West
id,3341,60.0,19952.0,59646,West
id,3351,41.0,437996.0,50256,West
id,1150,7.0,1956459.0,60615,West
id,1429,5.0,100067.0,43423,West
id,605,6.0,21795.0,42132,West
id,1117,4.0,275248.0,39688,West
id,1234,8.0,2149411.0,52134,West
id,375,6.0,79242.0,59053,West
id,4490,6.0,323891.0,52935,West
id,982,5.0,275248.0,46154,West
id,687,7.0,55546.0,43915,West
id,940,2.0,39421.0,40875,West
id,4022,7.0,256344.0,46855,West
id,919,1.0,116396.0,57215,West
id,1238,7.0,73396.0,58065,West
id,826,1.0,93569.0,45492,West
id,125,1.0,91505.0,47204,West
id,2890,53.0,94767.0,41516,West
id,3670,7.0,116388.0,63048,West
id,2045,15.0,277014.0,52921,West
id,1577,7.0,2501734.0,57242,West
id,1993,31.0,356080.0,49158,West
id,2024,16.0,98352.0,39324,West
id,1835,24.0,26524.0,41198,West
id,5074,17.0,275248.0,50053,West
id,89,0.0,370688.0,39160,West
id,941,0.0,157945.0,53370,West
id,1123,18.0,682899.0,58107,West
id,578,0.0,30445.0,53841,West
id,3167,40.0,42578.0,43798,West
id,108,4.0,136411.0,50579,West
id,988,6.0,29628.0,48823,West
id,504,15.0,518234.0,39386,West
id,906,3.0,66098.0,74216,West
id,1593,9.0,1233518.0,52919,West
id,1838,4.0,105911.0,64475,West
id,1724,18.0,83709.0,40992,West
il,3563,42.0,1066523.0,52993,Midwest
il,948,4.0,24207.0,36806,Midwest
il,1091,19.0,124183.0,57289,Midwest
il,0,0.0,395434.0,69272,Midwest
il,147,1.0,32847.0,61655,Midwest
il,5940,76.0,299818.0,57436,Midwest
il,731,30.0,27335.0,63009,Midwest
il,935,23.0,95520.0,52410,Midwest
il,1488,17.0,119823.0,52373,Midwest
il,222,2.0,2472708.0,52797,Midwest
il,1712,13.0,410288.0,52834,Midwest
il,1251,24.0,141675.0,56531,Midwest
il,2170,11.0,113291.0,48500,Midwest
il,162,1.0,425943.0,66639,Midwest
il,1389,22.0,701272.0,46202,Midwest
il,0,0.0,62767358.0,64660,Midwest
il,818,5.0,187142.0,49779,Midwest
il,92,1.0,38617.0,56206,Midwest
il,846,7.0,220601.0,55587,Midwest
il,256,2.0,1052737.0,63317,Midwest
il,1284,18.0,218711.0,56714,Midwest
il,0,0.0,17758770.0,92809,Midwest
il,4612,100.0,156994.0,53647,Midwest
il,1243,13.0,55047.0,51080,Midwest
il,1894,11.0,934654.0,56685,Midwest
il,5406,51.0,256432.0,46650,Midwest
il,2160,30.0,119101.0,52092,Midwest
il,617,8.0,408143.0,42769,Midwest
il,4022,55.0,316634.0,51643,Midwest
il,3706,93.0,16073.0,44076,Midwest
il,62,0.0,125553.0,49885,Midwest
il,0,0.0,524667.0,77350,Midwest
il,987,15.0,45360.0,54046,Midwest
il,4787,80.0,97042.0,52561,Midwest
il,911,18.0,14525.0,51250,Midwest
il,99,1.0,39350.0,53676,Midwest
il,3523,75.0,500077.0,59933,Midwest
